year,artist,track,lyrics
1941,Glenn Miller,Chattanooga Choo Choo, Pardon me boy Is that the Chattanooga choo choo? Track twenty-nine Boy you can gimme a shine Can you afford To board a Chattanooga choo choo? I've got my fare And just a trifle to spare You leave the Pennsylvania Station 'bout a quarter to four Read a magazine and then you're in Baltimore Dinner in the diner Nothing could be finer Than to have your ham an' eggs in Carolina. When you hear the whistle blowin' eight to the bar Then you know that Tennessee is not very far Shovel all the coal in Gotta keep it rollin' Woo woo Chattanooga there you are. There's gonna be A certain party at the station Satin and lace I used to call 'funny face' She's gonna cry Until I tell her that I'll never roam So Chattanooga choo choo Won't you choo-choo me home? Chattanooga choo choo Won't you choo-choo me home?. 
1941,Sammy Kaye,Daddy,Hey listen to my story 'bout a gal named Daisy Mae Lazy Daisy Mae Her disposition is rather sweet and charming At times alarming so they say She has a man who's *talldarkhandsome* large and strong To whom she used to sing this song. Hey Daddy I want a diamond ring bracelets everything Daddy you oughta get the best for me. Hey Daddy gee don't I look swell in sables? Clothes with Paris labels? Daddy you oughta get the best for me. Here's *'n'amazing* revelation With a bit of stimulation I'd be a great sensation I'd be your inspiration. Daddy I want a brand new car champagne caviar Daddy you oughta get the best for me. Hey Daddy I want a diamond ring bracelets everything Daddy you oughta get the best for me. Hey Daddy gee don't I look swell in sables? Clothes with Paris labels? Daddy you oughta get the best for me Here's *'n'amazing* revelation With a bit of stimulation I'd be a great sensation I'd be your inspiration. Daddy I want a brand new car champagne caviar Daddy.  Daddy. You oughta get the best for me  la-dah!!. 
1941,Artie Shaw,Stardust,And now the purple dusk of twilight time. Steals across the meadows of my heart High up in the sky the little stars climb. Always reminding me that we're apart. You wander down the lane and far away. Leaving me a song that will not die. Love is now the stardust of yesterday. The music of the years gone by. Sometimes I wonder why I spend. The lonely night dreaming of a song. The melody haunts my reverie. And I am once again with you. When our love was new. And each kiss an inspiration. But that was long ago. Now my consolation. Is in the stardust of a song. Beside a garden wall When stars are bright. You are in my arms. The nightingale tells his fairy tale. A paradise where roses bloom. Though I dream in vain. In my heart it will remain. My stardust melody. The memory of love's refrain. 
1942,Glenn Miller,Moonlight Cocktail,Couple of jiggers of moonlight and add a star Pour in the blue of a June night and one guitar Mix in a couple of dreamers and there you are: Lovers hail the Moonlight cocktail... Now add a couple of flowers a drop of dew Stir for a couple of hours till dreams come true As to the number of kisses it's up to you Moonlight cocktails need a few.... Cool it in the summer breeze Serve it in the starlight underneath the trees You'll discover tricks like these Are sure to make your Moonlight cocktail please.... Follow the simple directions and they will bring Life of another complexion where you'll be king You will awake in the morning and start to sing Moonlight cocktails are the thing! 
1942,Glenn Miller,(I've Got a Gal In) Kalamazoo,A B C D E F G H I got a gal in Kalamazoo Dont want to boast but I know shes the toast of Kalamazoo (Zoo zoo zoo zoo zoo) Years have gone by my my how she grew I liked her looks when I carried her books in Kalamazoo (Zoo zoo zoo zoo zoo). Im gonna send away hoppin' on a plane leavin' today Am I dreamin? I can hear her screaminR (Zoo zoo zoo Kalamazoo) K (K) A (A) L-A-M-A-Z-O (Oh oh oh oh what a gal a real pipperoo)R(Were goin' to Michigan to see the sweetest gal in Kalamazoo) (Zoo zoo zoo zoo zoo zoo zoo zoo zoo) (Kalamazoo!!) 
1942,Frank Sinatra,There Are Such Things,A heart that's true there are such things A dream for two there are such things Someone to whisper 'Darling you're my guiding star' Not caring what you own but just what you are A peaceful sky there are such things A rainbow high where heaven sings So have a little faith and trust in what tomorrow brings You'll reach a star because there are such things. [musical interlude]. So have a little faith and trust in what tomorrow brings You'lll reach a star because there are such things 
1943,Mills Brothers,Paper Doll,I'm gonna buy a Paper Doll that I can call my own A doll that other fellows cannot steal And then the flirty flirty guys with their flirty flirty eyes Will have to flirt with dollies that are real. When I come home at night she will be waiting She'll be the truest doll in all this world I'd rather have a Paper Doll to call my own Than have a fickle-minded real live girl. I guess I had a million dolls or more I guess I've played the doll game o'er and o'er I just quarrelled with Sue that's why I'm blue She's gone away and left me just like all dolls do. I'll tell you boys it's tough to be alone And it's tough to love a doll that's not your own I'm through with all of them I'll never ball again Say boy whatcha gonna do? I'm gonna buy a Paper Doll that I can call my own A doll that other fellows cannot steal And then the flirty flirty guys with their flirty flirty eyes Will have to flirt with dollies that are real. When I come home at night she will be waiting She'll be the truest doll in all this world I'd rather have a Paper Doll to call my own Than have a fickle-minded real live girl 
1943,Bing Crosby,Oh What a Beautiful Mornin',There's a bright golden haze on the meadow There's a bright golden haze on the meadow The corn is as high as an elephant's eye An' it looks like its climbin' clear up to the sky. Chorus: Oh what a beautiful morning Oh what a beautiful day I've got a wonderful feeling Everything's going my way.. Repeat chorus. All the cattle are standing like statues All the cattel are standing like statues They don't turn their heads as they see me ride by. But a little brown mav'rick is winking her eye.. Repeat chorus. All the sounds of the earth are like music All the sounds of the earth are like music The breeze is so busy it don't miss a tree And an ol' Weepin' Willer is laughin' at me. 
1943,Rudy Vallee,As Time Goes By,This day and age we're living in Gives cause for apprehension With speed and new invention And things like fourth dimension. Yet we get a trifle weary With Mr. Einstein's theory. So we must get down to earth at times Relax relieve the tension. And no matter what the progress Or what may yet be proved The simple facts of life are such They cannot be removed.]. You must remember this A kiss is still a kiss a sigh is just a sigh. The fundamental things apply As time goes by.. And when two lovers woo They still say 'I love you.' On that you can rely No matter what the future brings As time goes by.. Moonlight and love songs Never out of date. Hearts full of passion Jealousy and hate. Woman needs man And man must have his mate That no one can deny. It's still the same old story A fight for love and glory A case of do or die. The world will always welcome lovers As time goes by.. {Musical Interlude}. It's still the same old story A fight for love and glory A case of do or die. The world will always welcome lovers As time goes by. 
1944,Bing Crosby,Swinging On A Star,Would you like to swing on a star Carry moonbeams home in a jar And be better off than you are Or would you rather be a mule? A mule is an animal with long funny ears Kicks up at anything he hears His back is brawny but his brain is weak He's just plain stupid with a stubborn streak And by the way if you hate to go to school You may grow up to be a mule. Or would you like to swing on a star Carry moonbeams home in a jar And be better off than you are Or would you rather be a pig?. A pig is an animal with dirt on his face His shoes are a terrible disgrace He has no manners when he eats his food He's fat and lazy and extremely rude But if you don't care a feather or a fig You may grow up to be a pig. Or would you like to swing on a star Carry moonbeams home in a jar And be better off than you are Or would you rather be a fish? A fish won't do anything but swim in a brook He can't write his name or read a book To fool the people is his only thought And though he's slippery he still gets caught But then if that sort of life is what you wish You may grow up to be a fish A new kind of jumped-up slippery fish. And all the monkeys aren't in the zoo Every day you meet quite a few So you see it's all up to you You can be better than you are You could be swingin' on a star 
